Row ID,Industry,Company,Name,Project Type,Project_Status,Technology,Key Tech,Key Values,Location,Region,Year,More
33.0,CONSULTING,BCG,"Beijing Strategic for Urban District, Tongzhou",URBAN DESIGN,Completed,Digital Connectivity Tech,AI & Machine Learning,Sustainability,China,Asia,,
33.0,CONSULTING,BCG,"Beijing Strategic for Urban District, Tongzhou",URBAN DESIGN,Completed,Open access data platform,AI & Machine Learning,Sustainability,China,Asia,,
34.0,CONSULTING,Deloitte,Smart City's Solution Centre,INITIATIVE,Ongoing,Urban OS,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
34.0,CONSULTING,Deloitte,Smart City's Solution Centre,INITIATIVE,Ongoing,AI,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
34.0,CONSULTING,Deloitte,Smart City's Solution Centre,INITIATIVE,Ongoing,Data Science,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
35.0,CONSULTING,Deloitte,Cascais Digital Command Center,INFRASTRUCTURE,Ongoing,Cloud Based Digital Command Center,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
35.0,CONSULTING,Deloitte,Cascais Digital Command Center,INFRASTRUCTURE,Ongoing,Data Visualisation,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
35.0,CONSULTING,Deloitte,Cascais Digital Command Center,INFRASTRUCTURE,Ongoing,Data Analytics,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
35.0,CONSULTING,Deloitte,Cascais Digital Command Center,INFRASTRUCTURE,Ongoing,Digital Operation Centralisation,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
35.0,CONSULTING,Deloitte,Cascais Digital Command Center,INFRASTRUCTURE,Ongoing,Mobile Application,Analytics & Visualization,Decision Making,Portugal,Other,ongoing,
36.0,CONSULTING,Deloitte,Deloitte Insights,INITIATIVE,Ongoing,Data Analytics,Analytics & Visualization,Customer Centricity,nil,Other,ongoing,
36.0,CONSULTING,Deloitte,Deloitte Insights,INITIATIVE,Ongoing,Research,Analytics & Visualization,Customer Centricity,nil,Other,ongoing,
36.0,CONSULTING,Deloitte,Deloitte Insights,INITIATIVE,Ongoing,API,Analytics & Visualization,Customer Centricity,nil,Other,ongoing,
36.0,CONSULTING,Deloitte,Deloitte Insights,INITIATIVE,Ongoing,Data Visualisation,Analytics & Visualization,Customer Centricity,nil,Other,ongoing,
37.0,CONSULTING,Deloitte,SmartMove Brussels,PRODUCT,Completed,Urban OS,Analytics & Visualization,Decision Making,Belgium,Other,2019,
37.0,CONSULTING,Deloitte,SmartMove Brussels,PRODUCT,Completed,AI,Analytics & Visualization,Decision Making,Belgium,Other,2019,
37.0,CONSULTING,Deloitte,SmartMove Brussels,PRODUCT,Completed,Data Science,Analytics & Visualization,Decision Making,Belgium,Other,2019,
38.0,CONSULTING,Deloitte,CitySynergy,INITIATIVE,Ongoing,Platform,AI & Machine Learning,Decision Making,nil,Other,ongoing,
38.0,CONSULTING,Deloitte,CitySynergy,INITIATIVE,Ongoing,Digital Twin,AI & Machine Learning,Decision Making,nil,Other,ongoing,
38.0,CONSULTING,Deloitte,CitySynergy,INITIATIVE,Ongoing,Process Automation,AI & Machine Learning,Decision Making,nil,Other,ongoing,
38.0,CONSULTING,Deloitte,CitySynergy,INITIATIVE,Ongoing,AI,AI & Machine Learning,Decision Making,nil,Other,ongoing,
38.0,CONSULTING,Deloitte,CitySynergy,INITIATIVE,Ongoing,Dashboard Silos Integration,AI & Machine Learning,Decision Making,nil,Other,ongoing,
38.0,CONSULTING,Deloitte,CitySynergy,INITIATIVE,Ongoing,IoT Intergration,AI & Machine Learning,Decision Making,nil,Other,ongoing,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,Data Analytics,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,Data Aggregation,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,GIS,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,Cloud Computing,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,Platform,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,Software Tech,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,Blockchain,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
43.0,CONSULTING,KPMG,WIL Core Infrastructure,PRODUCT,Completed,API,Analytics & Visualization,Decision Making,Hong Kong,Other,2021,
44.0,CONSULTING,KPMG,KPMG Smart Grants Platform,PRODUCT,Completed,AI,AI & Machine Learning,Decision Making,USA,North America,2023,
44.0,CONSULTING,KPMG,KPMG Smart Grants Platform,PRODUCT,Completed,Automation,AI & Machine Learning,Decision Making,USA,North America,2023,
44.0,CONSULTING,KPMG,KPMG Smart Grants Platform,PRODUCT,Completed,Platform,AI & Machine Learning,Decision Making,USA,North America,2023,
45.0,CONSULTING,KPMG,pyAX Designing Tool for Bus Open Data Service,INITIATIVE,Completed,Data Analytics,Analytics & Visualization,Decision Making,UK,Other,2022,
45.0,CONSULTING,KPMG,pyAX Designing Tool for Bus Open Data Service,INITIATIVE,Completed,Data Processing,Analytics & Visualization,Decision Making,UK,Other,2022,
45.0,CONSULTING,KPMG,pyAX Designing Tool for Bus Open Data Service,INITIATIVE,Completed,Data Visualisation,Analytics & Visualization,Decision Making,UK,Other,2022,
45.0,CONSULTING,KPMG,pyAX Designing Tool for Bus Open Data Service,INITIATIVE,Completed,Automation,Analytics & Visualization,Decision Making,UK,Other,2022,
45.0,CONSULTING,KPMG,pyAX Designing Tool for Bus Open Data Service,INITIATIVE,Completed,API,Analytics & Visualization,Decision Making,UK,Other,2022,
45.0,CONSULTING,KPMG,pyAX Designing Tool for Bus Open Data Service,INITIATIVE,Completed,Dashboard,Analytics & Visualization,Decision Making,UK,Other,2022,
